CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
8,581,6,4.5 Years,"1,32,000/-"," $2,500.00 ",The candidates should have passed B.Sc. (Nursing)/Post Basic B.Sc. Nursing with atleast 55% marks and have atleast one year work experience. Note: Married candidates are also eligible for admission
8,582,7,4 Years,"2,50,000/-"," $3,000.00 ",passed in 10+2 in any stream 
8,583,7,4 Years,"2,50,000/-"," $3,000.00 ",passed in 10+2 in any stream 
8,584,7,4 Years,"2,50,000/-"," $3,000.00 ",passed in 10+2 in any stream 
8,585,7,4 Years,"1,10,000/-"," $2,000.00 ",passed in 10+2 in any stream 
8,586,7,3 Years,"1,80,000/-"," $2,500.00 ",passed in 10+2 in any stream 
8,587,7,3 Years,"90,000/-"," $2,000.00 "," passed in10+2 (Non Medical)
3 years Diploma in Architectural
Assistantship
Also required aptitude test
NATA/AIEEE/JEE or
Any Aptitude test in architecture
by competent state authority"
8,588,2,3 Years,"1,80,000/-", N.A ,passed in 10+2 in any stream 
9,589,1,3 Years,"50,000 - 66,000/-", $950.00 ,10th Passed with Science Group with PCM as compulsory subject
9,590,1,3 Years,"50,000 - 66,000/-", $950.00 ,10th Passed with Science Group with PCM as compulsory subject
9,591,1,3 Years,"50,000 - 66,000/-", $950.00 ,10th Passed with Science Group with PCM as compulsory subject
9,592,1,3 Years,"50,000 - 66,000/-", $950.00 ,10th Passed with Science Group with PCM as compulsory subject
9,593,1,3 Years,"50,000 - 66,000/-", $950.00 ,10th Passed with Science Group with PCM as compulsory subject
9,594,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,595,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,596,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,597,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,598,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,599,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,600,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,601,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM/PCB
9,602,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,603,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in 10+2/ PCM
9,604,1,4 Years,"144,000 - 1,88,000/-"," $2,600.00 ",Minimum 50% marks in Diploma in Engg. or B.Sc.
